symbol,term,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing Cash Flow,Dividend,Financing Cash Flow,Price,Price_M1,Price_M2,Price_M3,name,name_kr,sector,industry,avg_volume
ABB,2019Q4,27978.0,19072.0,8906.0,5447.0,1938.0,1439.0,0.67,2899.0,1938.0,2133.0,4110.0,6434.0,4184.0,26458.0,19650.0,46108.0,2287.0,20266.0,6772.0,11862.0,32128.0,13980.0,961.0,2325.0,-680.0,-815.0,0.79,-1383.0,24.09,23.17,21.64,17.26,Abb Ltd ADR,Abb ADR,Industrials,Electrical Equipment & Parts,1230900
ABBV,2019Q4,33266.0,7439.0,25827.0,6942.0,12983.0,7882.0,5.28,15000.0,12983.0,1481.0,39924.0,5428.0,1813.0,49519.0,39596.0,89115.0,3753.0,15585.0,62975.0,81702.0,97287.0,-8172.0,2017.0,13324.0,-552.0,596.0,4.28,18708.0,88.54,81.02,85.71,76.19,Abbvie Inc,애브비,Healthcare,Drug Manufacturers General,8246530
ABC,2019Q4,182061.0,176989.0,5071.95,3021.99,897.539,649.353,3.12,1369.16,897.535,206.008,3232.6,12568.8,11686.5,28954.8,11061.9,40016.7,532.489,30630.5,3636.11,6317.2,36947.7,3069.08,471.625,2007.86,-296.999,-310.553,1.6,-1004.86,85.02,85.56,84.32,88.5,Amerisourcebergen Corp,아메리소스버겐,Healthcare,Medical Distribution,1063570
ABCB,2019Q4,834.507,131.228,703.279,472.037,213.529,161.441,2.85,,,58.462,622.098,,,15059.1,3183.48,18242.6,1157.0,14047.7,1526.27,1705.65,15773.0,2469.58,42.832,-940.211,-5.994,-487.087,0.5,1369.62,42.54,40.19,34.18,23.76,Ameris Bancorp,아메리스 뱅코프,Financial Services,Banks Regional,328333
ABEV,2019Q4,13328.8,5493.26,7835.51,3883.99,4099.18,2985.05,0.18,5283.87,4099.18,15727.5,3062.95,2171.54,1514.98,6999.19,18782.5,25781.6,165.496,6337.79,610.618,3592.17,9929.96,15851.7,1184.7,4657.82,-1236.24,-1226.1,0.12,-3112.64,4.66,4.16,3.21,2.3,Ambev SA ADR,암베브 ADR,Consumer Defensive,Beverages Brewers,22651000
ABG,2019Q4,7210.3,6041.4,1168.9,799.8,325.0,184.4,9.64,384.8,325.0,19.1,3.5,330.9,985.0,1602.6,1308.7,2911.3,32.4,1247.0,907.0,1018.0,2265.0,646.3,59.8,349.8,-56.7,-227.6,,-127.0,111.79,96.45,88.64,55.23,Asbury Automotive Group Inc,애즈버리 오토모티브 그룹,Consumer Cyclical,Auto & Truck Dealerships,128833
ABM,2019Q4,6498.6,5767.5,731.1,452.9,208.501,127.4,1.92,310.201,208.5,66.6,58.5,1013.2,0.0,1275.4,2417.2,3692.6,57.2,902.4,744.2,1248.1,2150.6,1542.0,101.7,262.7,-58.3,-58.3,0.91,-184.8,37.71,38.14,32.92,24.36,ABM Industries Inc,ABM 인더스트리즈,Industrials,Specialty Business Services,522967
ABMD,2019Q4,841.305,146.784,694.521,339.004,256.555,245.172,5.43,275.167,256.555,45.14,427.539,100.994,91.193,636.576,560.035,1196.61,3.0,126.259,10.0,23.489,149.748,1046.86,18.612,298.718,-41.995,-171.17,,-92.931,170.59,186.29,150.26,145.16,ABIOMED Inc,어바이오메드,Healthcare,Medical Devices,1142530
ABR,2019Q4,535.785,318.721,217.064,40.329,178.713,121.074,1.3,239.949,178.713,92.851,599.261,10.651,,5947.65,291.508,6239.16,1737.0,376.4,2659.5,4506.73,4883.13,1356.03,61.236,-226.537,-0.677,-994.74,1.1400000000000001,1391.17,14.35,14.77,12.14,4.9,Arbor Realty Trust Inc,아버 리얼티 트러스트,Real Estate,Reit Mortgage,1187400
ABT,2019Q4,31904.0,13231.0,18673.0,9765.0,4532.0,3687.0,2.06,7546.0,4532.0,1768.0,4140.0,5425.0,4316.0,15667.0,52220.0,67887.0,1277.0,10863.0,16661.0,25723.0,36586.0,31301.0,3014.0,6136.0,-1638.0,-1815.0,1.28,-4289.0,86.86,87.14,77.03,78.91,Abbott Laboratories,애보트 래버러토리,Healthcare,Medical Devices,4194270
ABTX,2019Q4,246.33,53.37,192.96,123.382,66.386,52.959,2.5,,,21.152,346.248,,,4247.59,745.066,4992.65,3.0,4255.73,192.0,27.06,4282.79,709.865,2.44,66.867,-11.514,-233.514,,243.948,37.6,37.2,33.17,24.11,Allegiance Bancshares Inc,얼리전스 뱅크셰어스,Financial Services,Banks Regional,123767
ACA,2019Q4,1736.9,1404.5,332.4,179.5,152.9,113.3,2.35,238.7,152.9,47.9,240.4,200.0,283.3,757.2,1545.3,2302.5,3.7,284.0,103.6,228.1,512.1,1790.4,85.8,358.8,-76.5,-109.4,0.25,-108.4,44.55,43.75,42.96,39.74,Arcosa Inc,아코사,Industrials,Infrastructure Operations,455367
ACAD,2019Q4,339.076,11.344,327.732,325.638,-246.545,-235.259,-1.6,-247.392,-246.545,147.199,697.429,37.874,6.341,760.25,22.933,783.183,3.434,74.826,6.361,9.222,84.048,699.135,-0.847,-151.13,-1.129,-165.836,,371.847,42.78,39.94,42.74,42.25,ACADIA Pharmaceuticals Inc,아카디아 파마슈티컬스,Healthcare,Biotechnology,1439870
ACB,2019Q4,223.044,69.4466,153.597,326.22,-240.346,-1085.33,-12.0045,-158.972,-240.346,90.751,172.342,66.3309,190.279,477.181,3062.26,3539.44,43.7037,162.068,412.465,480.462,642.53,2896.91,81.3747,-218.634,-377.474,-323.856,,599.801,25.92,22.68,16.08,10.87,Aurora Cannabis Inc,오로라 카나비스,Healthcare,Drug Manufacturers Specialty & Generic,972014
ACC,2019Q4,943.042,425.607,517.435,31.081,179.89,84.969,0.6000000000000001,456.607,179.89,137.296,81.348,13.47,,94.818,7004.08,7559.75,458.0,88.411,3397.85,3659.6,4221.08,3338.67,276.717,370.379,-415.205,-416.14,1.87,20.592,47.03,45.87,43.44,27.75,American Campus Communities Inc,아메리칸 캠퍼스 커뮤니티스,Real Estate,Reit Residential,591000
ACCO,2019Q4,1955.7,1322.2,633.5,389.9,196.2,106.8,1.08,269.7,196.2,99.5,27.8,453.7,283.3,806.0,1982.6,2788.6,29.5,588.8,777.2,1426.1,2014.9,773.7,73.5,203.9,-32.3,-79.6,0.24,-163.4,9.36,8.64,8.01,5.05,ACCO Brands Corp,애코 브랜즈,Industrials,Business Equipment & Supplies,703667
ACGL,2019Q4,6925.97,3974.4,2951.57,80.111,1988.36,1594.71,3.96,2070.46,1988.36,401.803,726.23,9503.81,726.23,10230.0,27655.3,37885.4,0.2366,21017.9,2831.86,4607.29,25625.2,12260.2,82.104,2048.46,-37.837,-1806.48,,-80.662,42.89,44.16,40.43,28.46,Arch Capital Group Ltd,아치 캐피털 그룹,Financial Services,Insurance Diversified,1683570
ACHC,2019Q4,2008.38,617.233,2008.38,1311.34,314.094,108.923,1.25,414.004,314.094,87.612,99.535,288.863,5.0,542.211,6336.93,6879.14,43.679,463.576,3105.42,3910.18,4373.76,2505.38,99.91,332.904,-220.914,-201.141,,-61.627,33.22,32.13,29.6,18.35,Acadia Healthcare Company Inc,아카디아 헬스케어,Healthcare,Medical Care Facilities,483367
ACIU,2019Q4,111.748,0.0,111.748,16.1624,44.8256,45.7375,0.67,46.1078,44.8256,70.604,290.463,0.306,,294.677,6.5181000000000004,301.195,0.6562,17.6238,1.8723,9.3584,26.9823,274.213,1.2823,55.5789,-1.8973,-67.3198,,49.9385,8.52,9.29,6.87,6.91,AC Immune SA,AC 이뮨,Healthcare,Biotechnology,113400
ACIW,2019Q4,1258.29,617.453,640.841,258.98,123.756,67.062,0.58,266.387,123.756,116.175,121.398,359.197,,920.376,2337.16,3257.53,34.148,611.95,1339.01,1515.62,2127.57,1129.97,142.631,132.605,-48.014,-830.481,,668.35,37.89,34.45,27.87,24.15,ACI Worldwide Inc,ACI 월드와이드,Technology,Software Infrastructure,594000
ACLS,2019Q4,342.958,198.806,144.152,66.016,24.205,17.034,0.53,32.085,24.205,32.559,139.881,83.753,140.364,375.679,172.415,548.094,3.543,68.664,48.149,60.003,128.667,419.427,7.88,-13.594,-11.969,-11.969,,-13.408,24.1,24.15,23.99,18.31,Axcelis Technologies Inc,액셀리스 테크놀로지스,Technology,Semiconductor Equipment & Materials,191300
ACM,2019Q4,13521.7,12867.7,654.059,155.83,452.458,-271.965,-1.72,708.358,452.459,157.332,725.436,2895.65,,7466.93,7762.43,15229.4,56.637,6461.46,3358.18,4908.5,11370.0,3859.4,255.9,771.068,-92.509,-155.188,,-567.161,43.13,48.23,44.94,29.85,AECOM,애이콤 테크놀러지,Industrials,Engineering & Construction,927367
ACMR,2019Q4,107.524,56.87,50.654,19.963,17.791,18.894,1.13,18.579,17.791,16.801,117.859,33.694,44.796,198.396,19.307,217.703,13.753,53.502,2.532,66.88,120.382,97.321,0.788,9.403,-0.971,-5.531,,87.445,6.15,11.58,11.65,9.87,ACM Research Inc Class A,ACM 리서치 Class A,Technology,Semiconductor Equipment & Materials,177500
ACN,2019Q4,43968.4,30303.4,13665.0,7221.7,6443.33,4861.36,7.62,7523.86,6443.32,635.722,5813.84,8577.39,,15606.1,17564.6,33170.7,3.698,11199.4,15.9351,6370.1,17569.5,15601.2,1080.53,6386.36,-616.381,-1648.6,2.26,-3253.23,210.57,205.21,180.59,163.26,Accenture PLC Class A,액센추어 Class A,Technology,Information Technology Services,1925530
ACOR,2019Q4,192.408,34.849,157.559,192.846,-311.632,-272.966,-34.4928,14.579,-311.632,7.927,138.675,22.083,25.221,201.113,598.605,799.718,19.185,86.385,218.269,402.513,488.898,310.82,326.211,-128.167,-90.426,-0.505,,-60.55,12.24,12.18,8.64,5.58,Acorda Therapeutics Inc,아코다 테라퓨틱스,Healthcare,Drug Manufacturers Specialty & Generic,280456
ACRE,2019Q4,77.259,,77.259,16.771,37.506,36.991,1.3,37.729,37.506,28.609,5.635,0.0,,5.635,1778.5,1784.13,712.0,54.708,1280.91,1303.09,1357.79,426.339,0.223,32.452,-1.686,-174.426,1.32,136.141,15.84,16.34,15.26,6.99,Ares Commercial Real Estate Corp,아레스 커머셜 리얼에스테이트,Real Estate,Reit Mortgage,141433
ACRS,2019Q4,4.227,4.055,0.17200000000000001,27.58,-110.797,-161.354,-3.91,-85.884,-110.797,41.406,75.015,0.704,0.003,83.803,14.494,98.297,0.637,22.432,3.569,5.953,28.385,69.912,24.913,-96.445,-1.613,105.679,,-30.316,1.8900000000000001,1.24,1.1400000000000001,1.04,Aclaris Therapeutics Inc,애클래리스 테라퓨틱스,Healthcare,Biotechnology,908167
ACRX,2019Q4,2.289,6.806,-4.517,45.027,-54.205,-53.24,-0.67,-52.537,-54.205,79.184,66.137,0.432,3.295,71.688,19.668,91.356,4.63,13.611,20.517,119.163,132.774,-41.418,1.6680000000000001,-51.18,-3.47,-36.563,,14.452,2.11,1.7000000000000002,1.32,1.18,AcelRx Pharmaceuticals Inc,에이셀알엑스 파마슈티컬스,Healthcare,Drug Manufacturers Specialty & Generic,857967
ADAP,2019Q4,1.1219999999999999,,1.1219999999999999,43.391,-139.77,-137.165,-1.31,-131.76,-139.77,104.968,89.542,20.671,,120.489,61.054,181.543,2.493,34.341,22.966,23.564,57.905,123.638,8.01,-112.507,-1.592,94.945,,0.366,1.2,3.9,3.62,2.7199999999999998,Adaptimmune Therapeutics PLC ADR,어답트이뮨 테라퓨틱스 ADR,Healthcare,Biotechnology,242267
ADBE,2019Q4,11171.0,1673.0,9498.0,4125.0,3268.0,2951.0,6.07,4025.0,3268.0,486.0,4177.0,1535.0,,6495.0,14267.0,20762.0,3149.0,8191.0,989.0,2041.0,10232.0,10530.0,757.0,4422.0,-395.0,-456.0,,-2946.0,329.81,351.14,345.12,318.24,Adobe Inc,어도비 시스템즈,Technology,Software Infrastructure,3070330
ADC,2019Q4,187.478,23.511,163.967,15.566,114.395,80.081,1.96,174.883,114.395,40.5774,15.603,26.808,,42.411,2622.12,2664.53,4.0,74.001,872.299,898.967,972.968,1691.56,60.488,126.707,-667.108,-667.519,2.2800000000000002,528.994,70.17,75.93,71.82,61.9,Agree Realty Corp,어그리 리얼티,Real Estate,Reit Retail,231267
ADES,2019Q4,70.086,49.443,20.643,18.217,-14.893,35.537,1.96,-5.844,-14.893,18.154,12.08,11.676,15.46,47.048,126.751,173.799,23.932,39.313,20.434,26.194,65.507,108.292,9.049,62.262,-7.851,-13.238,1.0,-55.716,10.5,11.39,8.89,6.57,Advanced Emissions Solutions Inc,어드밴스드 에미션스 솔루션스,Industrials,Pollution & Treatment Controls,187200
ADI,2019Q4,5991.07,1977.31,4013.75,648.094,1710.61,1363.01,3.68,2521.86,1710.61,369.133,648.322,635.136,609.886,1985.13,19407.5,21392.6,299.667,1508.63,5192.25,8174.82,9683.45,11709.2,811.251,2253.1,-275.372,-293.186,2.16,-2126.79,118.84,109.75,109.05,89.65,Analog Devices Inc,애널로그 디바이시스,Technology,Semiconductors,2668570
ADM,2019Q4,64656.0,60509.0,4147.0,2493.0,1654.0,1379.0,2.45,2647.0,1654.0,563.0,5310.0,2267.0,9170.0,21347.0,22650.0,43997.0,7.0,13734.0,7672.0,11038.0,24772.0,19225.0,993.0,-5452.0,-828.0,5259.0,1.4,-660.0,46.35,44.76,37.65,35.18,Archer-Daniels-Midland Co,아처 대니얼스 미들랜드,Consumer Defensive,Farm Products,3540270
ADMA,2019Q4,29.3491,39.5042,-10.1552,25.910800000000002,-41.4243,-48.2794,-0.9,-37.1287,-41.4243,54.348,26.7521,3.4699,53.0647,85.8204,41.2704,127.091,0.2291,14.0279,84.5016,86.8697,100.898,26.1932,4.2957,-76.1935,-3.8118,-3.8118,,80.0026,4.0,3.96,2.91,2.88,ADMA Biologics Inc,ADMA 바이오로직스,Healthcare,Biotechnology,663267
ADMP,2019Q4,22.1139,15.4789,6.635,25.2876,-29.3507,-27.5128,-0.55,-26.4061,-29.3507,53.264,8.8106,1.8777,2.0611,13.8767,33.9638,47.8405,2.5978,9.4097,1.4809999999999999,5.4295,14.8393,33.0012,2.9445,-19.8857,-2.8664,-2.8664,,12.2911,0.7000000000000001,0.66,0.5700000000000001,0.36,Adamis Pharmaceuticals Corp,아다미스 파마슈티컬스,Healthcare,Drug Manufacturers Specialty & Generic,2571130
ADNT,2019Q4,16304.0,15420.0,884.0,658.0,226.0,-641.0,-6.84,553.0,226.0,93.7,965.0,1522.0,772.0,3799.0,6565.0,10364.0,8.0,3683.0,3740.0,4597.0,8280.0,2084.0,327.0,675.0,-384.0,-393.0,,267.0,21.25,25.71,23.93,9.07,Adient PLC,애디언트,Consumer Cyclical,Auto Parts,1079730
ADP,2019Q4,14472.7,8232.7,6240.0,3085.9,3154.1,2463.2,5.7,4545.9,3154.1,431.5,1507.6,2587.9,,41365.0,7694.4,49059.4,1001.6,40522.4,1003.0,3172.6,43695.0,5364.4,1391.8,2887.7,-159.1,-1853.4,3.2800000000000002,6805.7,170.5,171.39,154.74,136.68,Automatic Data Processing Inc,오토매틱 데이터 프로세싱,Industrials,Staffing & Employment Services,3195630
ADPT,2019Q4,85.071,22.274,62.797,68.785,-78.391,-69.57,-1.51,-75.063,-78.391,69.1653,576.866,12.676,9.069,612.69,299.612,912.302,0.0,78.313,36.607,262.95,341.263,571.039,3.328,205.404,-11.2,-481.697,,319.916,29.92,29.91,28.1,27.78,Adaptive Biotechnologies Corp,어댑티브 바이오테크놀러지,Healthcare,Biotechnology,437500
ADS,2019Q4,4827.0,2687.8,2844.2,926.0,955.0,269.0,6.01,1488.0,955.0,50.0,3874.4,18743.1,218.0,24112.7,2382.1,26494.8,10074.6,11872.0,12211.0,13034.5,24906.5,1588.3,533.0,1218.0,-142.0,2861.0,2.52,-4092.0,89.55,82.04,68.54,26.86,Alliance Data Systems Corp,얼라이언스 데이터 시스템즈,Financial Services,Credit Services,1021950
ADSK,2019Q4,3112.3,318.7,2793.6,1681.9,249.5,147.4,0.67,371.3,249.5,219.7,1024.5,520.3,0.0,1706.8,3329.8,5036.6,64.0,2840.2,1290.3,2367.9,5208.1,-171.5,121.8,1028.4,-56.8,-792.8,,-156.2,183.46,196.85,190.88,156.1,Autodesk Inc,오토데스크,Technology,Software Application,1740630
ADT,2019Q4,5125.66,1390.28,3735.37,1406.53,196.444,-424.15,-0.58,2203.85,196.444,747.238,48.736,287.243,138.402,625.483,15458.2,16083.6,58.049,1119.73,9634.23,11779.6,12899.3,3184.37,2007.41,1873.12,-701.151,-978.177,0.8,-1214.2,7.93,6.2,6.39,4.32,ADT Inc,ADT,Industrials,Security & Protection Services,1289930
ADTN,2019Q4,530.061,310.894,219.167,130.288,-39.963,-52.982,-1.09,-22.192,-39.963,47.836,107.016,107.097,98.305,320.31,224.808,545.118,27.276,112.711,5.818,51.981,164.692,380.426,17.771,-2.472,-9.494,-9.791,0.36,-17.87,9.89,9.05,8.05,7.68,ADTRAN Inc,애드트랜,Technology,Communication Equipment,387900
ADUS,2019Q4,648.791,469.553,179.238,133.912,34.7521,25.237,1.74,46.0421,34.752,13.816,111.714,149.68,,269.387,367.361,636.748,0.728,87.528,59.164,73.628,161.156,475.592,11.29,12.019,-4.621,-188.697,,217.986,97.22,94.34,76.27,67.6,Addus Homecare Corp,아듀스 홈케어,Healthcare,Medical Care Facilities,121567
ADVM,2019Q4,0.25,0.354,-0.10400000000000001,28.376,-68.545,-64.486,-1.0,-66.077,-68.545,64.102,166.035,0.0,,175.87,46.857,222.727,4.134,19.408,28.314,28.362,47.77,174.957,2.468,-49.17,-19.247,-68.073,,28.191,11.52,9.87,12.31,9.77,Adverum Biotechnologies Inc,애드베럼 바이오테크놀로지스,Healthcare,Biotechnology,1026970
AEE,2019Q4,5910.0,1422.0,4488.0,2226.0,1267.0,828.0,3.37,2367.0,1267.0,245.6,16.0,456.0,494.0,1431.0,27502.0,28933.0,442.0,2505.0,8915.0,18227.0,20732.0,8201.0,1100.0,2170.0,-2442.0,-2435.0,1.92,334.0,76.8,82.05,79.0,72.83,Ameren Corp,애머런,Utilities,Utilities Regulated Electric,1696000
AEHR,2019Q4,22.812,13.688,9.124,7.833,-3.172,-3.253,-0.15,-2.778,-3.172,22.823,5.302,5.231,9.8,20.867,3.433,24.3,0.619,6.344,1.924,1.988,8.332,15.968,0.394,-2.956,-0.193,-0.193,,-5.57,2.0,2.05,2.1,1.67,Aehr Test Systems,에흐르 테스트 시스템즈,Technology,Semiconductor Equipment & Materials,126900
AEIS,2019Q4,788.948,473.296,315.652,142.555,54.3879,64.941,1.69,80.5349,54.3879,38.281,349.055,250.809,230.019,866.738,665.668,1532.41,17.5,320.332,321.527,534.814,855.146,677.26,26.147,48.392,-25.188,-393.847,,338.84,71.2,69.94,59.48,48.49,Advanced Energy Industries Inc,어드밴스드 에너지 인더스트리스,Industrials,Electrical Equipment & Parts,254567
AEL,2019Q4,3464.35,1322.99,2141.35,87.717,1810.9,246.09,2.69,2017.11,1810.9,91.139,2293.39,5115.01,0.0,7408.4,62288.1,69696.6,0.0,62150.0,652.381,2976.38,65126.4,4570.12,206.216,3351.4,-4.022,-3054.89,0.30000000000000004,1652.48,29.93,26.41,25.28,18.8,American Equity Investment Life Holding Co,아메리칸 에퀴티 인베스트먼트 라이프 홀딩,Financial Services,Insurance Life,404633
AEM,2019Q4,2494.89,1247.7,1247.19,120.987,472.56,473.166,2.0,1018.62,472.56,236.934,327.902,10.600999999999999,580.068,1102.32,7687.56,8789.88,374.924,775.638,1466.24,2902.73,3678.37,5111.51,546.057,881.692,-878.972,-873.884,,10.61,61.61,61.82,47.53,39.79,Agnico Eagle Mines Ltd,애그니코 이글 마인스,Basic Materials,Gold,1652670
AEO,2019Q4,4237.78,2692.62,1545.16,1030.73,334.269,262.662,1.54,509.424,334.269,167.912,264.514,112.304,647.329,1078.57,2373.68,3452.25,292.312,810.152,1353.82,1381.71,2191.87,1260.39,175.155,391.256,-194.947,-167.578,0.41000000000000003,-290.515,14.7,14.4,12.88,7.95,American Eagle Outfitters Inc,아메리칸 이글,Consumer Cyclical,Apparel Retail,3804870
AEP,2019Q4,15561.4,5106.1,10455.3,5192.1,2592.3,1921.1,3.89,5332.4,2592.3,493.694,635.3,1705.1,1169.2,4077.8,70857.1,75892.3,4437.0,10299.1,25126.8,45680.0,55979.1,19913.2,2740.1,4270.1,-6051.4,-7144.5,2.71,2862.9,94.51,104.22,89.26,79.98,American Electric Power Company Inc,아메리칸 일렉트릭 파워 컴퍼니,Utilities,Utilities Regulated Electric,2313970
AER,2019Q4,4937.34,704.045,4828.02,267.458,1340.64,1145.69,8.53,4312.33,2635.66,134.57,1300.35,47.935,0.0,1348.28,42401.0,43749.2,0.2639,3970.57,29486.1,30396.5,34367.0,9382.21,1676.67,3105.68,-1585.33,-2954.74,,-265.006,61.47,56.61,52.08,22.79,AerCap Holdings NV,에어캡 홀딩스,Industrials,Rental & Leasing Services,836767
AERI,2019Q4,69.888,4.833,65.055,138.402,-187.492,-199.581,-4.4,-169.378,-187.492,45.427,309.19,38.354,21.054,376.342,76.266,452.608,5.502,83.648,188.651,202.01,285.658,166.95,18.114,-150.43,-9.958,-183.247,,274.799,24.17,20.48,17.5,13.5,Aerie Pharmaceuticals Inc,에어리 파마슈티컬스,Healthcare,Drug Manufacturers Specialty & Generic,865067
AES,2019Q4,10189.0,7840.0,2349.0,196.0,1093.0,303.0,0.45,2138.0,1093.0,664.0,1765.0,1479.0,487.0,5231.0,28417.0,33648.0,1868.0,5096.0,18305.0,23323.0,28419.0,5229.0,1045.0,2466.0,-2405.0,-2721.0,0.55,-86.0,19.9,19.86,16.73,13.6,AES Corp,AES,Utilities,Utilities Diversified,4666000
AEZS,2019Q4,0.532,0.41000000000000003,0.122,7.829,-10.242,-6.042,-0.35000000000000003,-10.001,-10.242,17.494,7.838,0.658,1.203,10.91,9.071,19.981,0.0,5.659,0.0,16.785,22.444,-2.463,0.241,-10.725,0.0,0.05,,3.893,0.91,1.07,0.8,0.51,Aeterna Zentaris Inc,에터나 젠타리스,Healthcare,Biotechnology,118567
AFG,2019Q4,6213.0,4996.0,1217.0,,634.0,897.0,9.87,961.0,702.0,89.9,2314.0,2310.0,,4624.0,65506.0,70130.0,0.215,54894.0,1473.0,8967.0,63861.0,6269.0,259.0,2456.0,-40.0,-3065.0,4.95,1408.0,109.65,108.79,92.42,70.08,American Financial Group Inc,아메리칸 파이낸셜 그룹,Financial Services,Insurance Property & Casualty,289333
AFI,2019Q4,626.3,541.0,85.3,146.4,-61.1,-58.5,-2.65,-10.4,-61.1,24.116,27.1,36.1,111.6,185.5,316.7,502.2,0.2,104.6,42.5,129.3,233.9,268.3,50.7,-6.0,-27.5,-29.4,,-111.1,4.27,3.54,2.64,1.43,Armstrong Flooring Inc,암스트롱 플로어링,Industrials,Building Products & Equipment,153567
AFL,2019Q4,22307.0,13263.0,9044.0,4371.0,4445.0,3304.0,4.45,5955.0,4673.0,742.414,4896.0,828.0,,5724.0,147044.0,152768.0,0.0,106554.0,6569.0,17255.0,123809.0,28959.0,1282.0,5455.0,0.0,-3171.0,1.08,-1713.0,52.9,51.57,42.85,34.24,Aflac Inc,애플랙,Financial Services,Insurance Life,3756100
